,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
23,6535,NEAR Protocol,NEAR,near-protocol,476,2020-08-11T00:00:00.000Z,"['platform', 'ai-big-data', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'cross-chain', 'injective-ecosystem', 'circle-ventures-portfolio', 'layer-1', 'alleged-sec-securities', 'account-abstraction', 'data-availability']",,1217906155.0,1224882947.0,False,,24,,,,2024-12-13T09:57:00.000Z,6.860492136577515,677636846.1324116,11.8362,-0.33595483,-4.54247547,-11.49985051,33.38570713,41.27606508,63.86504997,8355435599.466857,0.2324,8403299826.12,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
24,21794,Aptos,APT,aptos,452,2022-10-19T01:50:25.000Z,"['binance-labs-portfolio', 'aptos-ecosystem', 'circle-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'move-vm']",,554658575.8393086,1130604217.7705638,True,,25,130000000.0,1807254069.7887406,,2024-12-13T09:57:00.000Z,13.901954382990313,452820413.45431614,-27.3006,0.14344382,0.46370696,-0.73469187,18.04265844,37.59458169,123.30075386,7710838219.452441,0.2145,15717608260.66,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
25,8916,Internet Computer,ICP,internet-computer,308,2021-03-23T00:00:00.000Z,"['platform', 'ai-big-data', 'smart-contracts', 'polychain-capital-portfolio', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio', 'internet-computer-ecosystem', 'layer-1', 'alleged-sec-securities']",,475602101.9752606,526652104.9643973,True,,26,475602101.9752606,6405192947.340655,,2024-12-13T09:57:00.000Z,13.467545498093349,345509451.59199053,3.009,0.02550981,-1.35701243,-9.05340848,64.4217546,67.0354492,55.87054593,6405192947.340655,0.1782,7092711185.27,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
26,29470,Ethena USDe,USDe,ethena-usde,96,2024-02-20T11:05:01.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-labs-portfolio', 'dragonfly-capital-portfolio', 'usd-stablecoin', 'eigenlayer-ecosystem']",,5729872870.011193,5729872870.011193,True,,27,,,,2024-12-13T09:57:00.000Z,1.0015039051832502,191918361.07196477,15.839,-0.00156096,0.00538861,-0.02965983,-0.06038419,0.27315775,0.24215304,5738490055.519768,0.1596,5738490055.52,,2024-12-13T09:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,2024-12-13 15:27:41.824053
27,7278,Aave,AAVE,aave,986,2020-10-02T00:00:00.000Z,"['defi', 'dao', 'yield-farming', 'three-arrows-capital-portfolio', 'governance', 'lending-borowing', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'framework-ventures-portfolio', 'alameda-research-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'polygon-ecosystem', 'fantom-ecosystem', 'optimism-ecosystem', 'standard-crypto-portfolio']",,15012764.73910629,16000000.0,False,,28,,,0.24906862,2024-12-13T09:57:00.000Z,367.8881440760437,2101742253.6466064,32.8474,0.43867288,3.26560034,43.97961153,113.7151494,124.97281554,163.88976108,5523018157.320084,0.1536,5886210305.22,22174684542.03003,2024-12-13T09:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,2024-12-13 15:27:41.824053
28,4943,Dai,DAI,multi-collateral-dai,3422,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5365382702.664872,5365382702.664872,True,,29,,,,2024-12-13T09:57:00.000Z,1.0003861491366028,125877786.96008073,0.7358,-0.00409977,0.0320099,0.02606908,0.06674102,0.04736189,0.03471902,5367454540.56305,0.1493,5367454540.56,,2024-12-13T09:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2024-12-13 15:27:41.824053
29,28321,POL (ex-MATIC),POL,polygon-ecosystem-token,385,2023-10-30T14:43:57.000Z,[],,8352777572.235456,10312906621.168447,False,,30,62242397.94040099,38341563.50041562,,2024-12-13T09:57:00.000Z,0.6160039582203894,387023227.51269823,-3.8358,-0.72369026,-5.29413713,-9.87213202,67.98024416,65.11840232,48.53205013,5145344046.6315365,0.1431,6352791299.4,,2024-12-13T09:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0x455e53cbb86018ac2b8092fdcd39d8444affc3f6,2024-12-13 15:27:41.824053
30,1321,Ethereum Classic,ETC,ethereum-classic,582,2016-07-24T00:00:00.000Z,"['mineable', 'pow', 'ethash', 'platform', 'smart-contracts', 'dcg-portfolio', '2017-2018-alt-season']",210700000.0,149925826.27155817,210700000.0,False,,31,,,,2024-12-13T09:57:00.000Z,33.77921618323845,674659094.9780959,-22.1095,-1.11227183,-2.1948026,-5.07698211,55.78271322,78.15122309,81.50187353,5064376897.077614,0.1409,7117280849.81,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
31,3635,Cronos,CRO,cronos,262,2018-12-14T00:00:00.000Z,"['medium-of-exchange', 'cosmos-ecosystem', 'centralized-exchange', 'mobile', 'payments', 'injective-ecosystem', 'layer-1']",,26571560696.0,30000000000.0,False,,32,,,,2024-12-13T09:57:00.000Z,0.1859193993761901,104764435.92950562,18.6337,-0.57823014,-3.17444416,-7.89792521,18.18659659,140.14923879,122.89925941,4940168605.0883,0.1374,5577581981.29,,2024-12-13T09:57:00.000Z,,,,,,2024-12-13 15:27:41.824053
32,5690,Render,RENDER,render,497,2020-06-11T00:00:00.000Z,"['art', 'media', 'vr-ar', 'ai-big-data', 'distributed-computing', 'collectibles-nfts', 'scaling', 'video', 'ethereum-ecosystem', 'solana-ecosystem', 'metaverse', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'polygon-ecosystem', 'web3', 'generative-ai', 'depin']",644168762.0,517690758.8754916,532450932.1554916,False,,33,,,,2024-12-13T09:57:00.000Z,9.293945100902963,777083509.8448793,-22.416,-0.45300589,-6.60026298,-10.77933951,39.87041854,66.66260174,76.53954298,4811389492.233613,0.1339,5986869109.74,,2024-12-13T09:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,2024-12-13 15:27:41.824053
